"Block Group","State","FIPS Code","Formatted FIPS","Estimated number of families, between 2015-2019."
"421010001001","PA","421010001001","=""421010001001""","257"
"421010001002","PA","421010001002","=""421010001002""","496"
"421010002001","PA","421010002001","=""421010002001""","503"
"421010003001","PA","421010003001","=""421010003001""","110"
"421010003002","PA","421010003002","=""421010003002""","478"
"421010004011","PA","421010004011","=""421010004011""","437"
"421010004021","PA","421010004021","=""421010004021""","288"
"421010004022","PA","421010004022","=""421010004022""","384"
"421010005001","PA","421010005001","=""421010005001""","158"
"421010006001","PA","421010006001","=""421010006001""","141"
"421010007001","PA","421010007001","=""421010007001""","100"
"421010007002","PA","421010007002","=""421010007002""","197"
"421010007003","PA","421010007003","=""421010007003""","135"
"421010008011","PA","421010008011","=""421010008011""","258"
"421010008031","PA","421010008031","=""421010008031""","77"
"421010008032","PA","421010008032","=""421010008032""","158"
"421010008033","PA","421010008033","=""421010008033""","62"
"421010008034","PA","421010008034","=""421010008034""","121"
"421010008041","PA","421010008041","=""421010008041""","581"
"421010008042","PA","421010008042","=""421010008042""","315"
"421010008043","PA","421010008043","=""421010008043""","113"
"421010009011","PA","421010009011","=""421010009011""","155"
"421010009012","PA","421010009012","=""421010009012""","50"
"421010009021","PA","421010009021","=""421010009021""","270"
"421010009022","PA","421010009022","=""421010009022""","153"
"421010010011","PA","421010010011","=""421010010011""","418"
"421010010012","PA","421010010012","=""421010010012""","223"
"421010010021","PA","421010010021","=""421010010021""","370"
"421010010022","PA","421010010022","=""421010010022""","202"
"421010010023","PA","421010010023","=""421010010023""","216"
"421010011011","PA","421010011011","=""421010011011""","96"
"421010011012","PA","421010011012","=""421010011012""","63"
"421010011013","PA","421010011013","=""421010011013""","127"
"421010011014","PA","421010011014","=""421010011014""","113"
"421010011021","PA","421010011021","=""421010011021""","151"
"421010011022","PA","421010011022","=""421010011022""","244"
"421010012011","PA","421010012011","=""421010012011""","248"
"421010012012","PA","421010012012","=""421010012012""","160"
"421010012013","PA","421010012013","=""421010012013""","198"
"421010012014","PA","421010012014","=""421010012014""","191"
"421010012021","PA","421010012021","=""421010012021""","296"
"421010012022","PA","421010012022","=""421010012022""","126"
"421010012023","PA","421010012023","=""421010012023""","175"
"421010012024","PA","421010012024","=""421010012024""","165"
"421010012025","PA","421010012025","=""421010012025""","132"
"421010013001","PA","421010013001","=""421010013001""","65"
"421010013002","PA","421010013002","=""421010013002""","152"
"421010013003","PA","421010013003","=""421010013003""","33"
"421010013004","PA","421010013004","=""421010013004""","201"
"421010013005","PA","421010013005","=""421010013005""","942"
"421010014001","PA","421010014001","=""421010014001""","283"
"421010014002","PA","421010014002","=""421010014002""","77"
"421010014003","PA","421010014003","=""421010014003""","360"
"421010015001","PA","421010015001","=""421010015001""","164"
"421010015002","PA","421010015002","=""421010015002""","450"
