Block Group,buffered_shortage
421010001001,-2651
421010001002,-2880
421010002001,-5790
421010003001,-7372
421010003002,-5770
421010004011,-5856
421010004021,-7412
421010004022,-7701
421010005001,-6646
421010006001,-6332
421010007001,-6556
421010007002,-8197
421010007003,-6129
421010008011,-6317
421010008031,-5241
421010008032,-6319
421010008033,-7387
421010008034,-6987
421010008041,-6490
421010008042,-6552
421010008043,-6649
421010009011,-6067
421010009012,-6159
421010009021,-5656
421010009022,-6313
421010010011,-3087
421010010012,-2931
421010010021,-2799
421010010022,-2890
421010010023,-3057
421010011011,-4575
421010011012,-5327
421010011013,-5400
421010011014,-5175
421010011021,-3841
421010011022,-5716
421010012011,-6280
421010012012,-5458
421010012013,-6143
421010012014,-5663
421010012021,-5511
421010012022,-5721
421010012023,-5905
421010012024,-5048
421010012025,-6186
421010013001,-3316
421010013002,-2179
421010013003,-2507
421010013004,-3276
421010013005,-4411
421010014001,-2089
421010014002,-1603
421010014003,-3068
421010015001,-2299
421010015002,-2794
421010016001,-2248
421010016002,-1335
421010017001,-1758
421010017002,-2329
421010018001,-2205
421010018002,-2444
421010019001,-1797
421010019002,-1738
421010019003,-2015
421010020001,-3380
421010020002,-3388
421010021001,-2338
421010021002,-2250
421010022001,-1810
421010022002,-2217
421010022003,-2136
421010023001,-2231
421010023002,-2061
421010024001,-1820
421010024002,-2149
421010024003,-2428
421010024004,-2009
421010024005,-2265
421010025001,-1844
421010025002,-1424
421010025003,-1673
421010025004,-1944
421010027011,-1801
421010027012,-2276
421010027013,-1880
421010027021,-1783
421010027022,-1800
421010027023,-1743
421010027024,-1837
421010028011,-2033
421010028012,-2405
421010028013,-1846
421010028021,-2098
421010028022,-2505
421010028023,-2084
421010028024,-2043
421010028025,-1827
421010029001,-3258
421010029002,-2389
421010029003,-2684
421010030011,-2089
421010030012,-2441
421010030013,-2476
421010030014,-2576
421010030015,-2268
421010030021,-1790
421010030022,-2081
421010030023,-2070
421010030024,-2324
421010031001,-2601
421010031002,-2709
421010031003,-2812
421010031004,-2856
421010031005,-3017
421010031006,-3232
421010032001,-2599
421010032002,-2978
421010032003,-3115
421010032004,-3732
421010032005,-2736
421010032006,-2571
421010033001,-3092
421010033002,-3466
421010033003,-3064
421010033004,-2580
421010033005,-2858
421010033006,-2590
421010036001,-2769
421010036002,-1755
421010036003,-2369
421010036004,-2384
421010037011,-3004
421010037012,-2675
421010037013,-2846
421010037014,-3010
421010037015,-3193
421010037021,-2429
421010037022,-2618
